Precinct,Total2013
1,0
5,3
6,2
7,1
9,2
10,1
13,1
14,2
17,0
18,0
19,0
20,2
22,0
23,4
24,2
25,3
26,1
28,2
30,3
32,7
33,2
34,1
40,8
41,2
42,12
43,9
44,9
45,5
46,9
47,9
48,4
49,2
50,2
52,12
60,8
61,2
62,3
63,8
66,6
67,11
68,0
69,3
70,8
71,6
72,5
73,15
75,18
76,1
77,12
78,1
79,13
81,6
83,7
84,1
88,6
90,6
94,1
100,3
101,3
102,7
103,8
104,3
105,3
106,6
107,1
108,4
109,1
110,6
111,0
112,0
113,7
114,4
115,3
120,4
121,1
122,2
123,0
